ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"T06-000492"," 日式防滑靜音拖鞋 咖色條紋 42-43","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000492",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,14.5049,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000492","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000493"," 日式防滑靜音拖鞋 咖色條紋 44-45","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000493",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,13.3617,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000493","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000488"," 日式防滑靜音拖鞋 淺綠條紋 36-37","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000488",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,13.6861,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000488","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000489"," 日式防滑靜音拖鞋 淺綠條紋 38-39","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000489",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,15.0725,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000489","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000490"," 日式防滑靜音拖鞋 淺綠條紋 40-41","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000490",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,13.9616,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000490","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000485"," 日式防滑靜音拖鞋 粉色條紋 36-37","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000485",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,15.2232,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000485","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000486"," 日式防滑靜音拖鞋 粉色條紋 38-39","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000486",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,14.9438,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000486","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000487"," 日式防滑靜音拖鞋 粉色條紋 40-41","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000487",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,13.9195,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000487","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000494"," 日式防滑靜音拖鞋 藏青條紋 40-41","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000494",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,13.8984,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000494","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000495"," 日式防滑靜音拖鞋 藏青條紋 42-43","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000495",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,14.4809,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000495","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000496"," 日式防滑靜音拖鞋 藏青條紋 44-45","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000496",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,13.4312,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000496","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"CLM-109963"," 韓國 Celimax 諾麗果保濕抗衰老能量安瓶精華 30ml","Beauty","Celimax",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"8809875907795",0.0000,0.0000,KT,"Victoria International CO., LTD","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,73.0391,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956007_S_CLM-109963","","","","","","","","","","HKTV PC & Beauty 24%","","","","","","","","","韓國","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"LT10013837","（ 贈品）Comforbot 刮痧艾草精油 10ml","Gift","Comforbot",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,ThinkBusiness Brand Service Limited,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"LAI-107290","(Laifen 贈品) Laifen 鏡盒氣墊梳 (顏色隨機)","Hello Bear","Laifen",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"LAI-107290",0.0000,0.0000,KT,Thinking Group Holding Limited,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"DRSE-101289DF","(瑕疵品)韓國 Dr.Seed 生長天然洗髮露 1000ml - Bebe Musk (嬰兒香)","Personal Care","Dr.Seed",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,,"Queen International Co.,ltd","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","韓國","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"DRSE-101291DF","(瑕疵品)韓國 Dr.Seed 生長滋潤修復護髮素 1000ml - Bebe Musk (嬰兒香)","Personal Care","Dr.Seed",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,,"Queen International Co.,ltd","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","韓國","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T02-000328","（網格）化妝品收納盒 置物架 棉簽盒 桌面收納盒 梳妝台收納盒 護膚品整理","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"6948958404379",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,10.8062,Item 個,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T02-000328","","","T02","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"BRAND-101887","(贈品) Surpresent負離子造型梳 - 灰紫色","Other","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"4897107661380",0.0000,0.0000,KT,ThinkBusiness Brand Service Limited,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","其他","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"BRAND-100972","(贈品) 價值$600現金券（購買NMN滿$1000可用）","Other","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","其他","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"MER-107323","(贈品) 日本 MERIQUE 緊致彈力神奇化妝液 30ml","Hello Bear","MERIQUE",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"4580547671759",0.0000,0.0000,KT,Konxept Limited,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","日本","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"MER-107307","(贈品) 日本 MERIQUE 護理頭皮洗髮髮膜旅行套裝","Hello Bear","MERIQUE",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,Konxept Limited,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","日本","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"MER-107324","(贈品) 日本 MERIQUE 護膚系列旅行套裝 (一套6支)","Hello Bear","MERIQUE",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"4580547670806",0.0000,0.0000,KT,Konxept Limited,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","日本","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"BRAND-105922","(贈品) 日本 Sunlife 便攜直立式餐具三件套 - 墨綠色","Hello Bear","Sunlife",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","日本","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"BRAND-105921","(贈品) 日本 Sunlife 便攜直立式餐具三件套 - 深藍色","Hello Bear","Sunlife",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","日本","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"BRAND-101697","(贈品) 電子禮券","Other","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","其他","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"BRAND-105926","(贈品) 韓國 Cocod'or 衣物柔順除臭空間香氛噴霧 500ml - 花園薰衣草 Garden Lavender","Hello Bear","Cocod'or",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,KT,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,_1_: Sales of product income,_131_: Cost of sales,,"Other Product Info.","","","","","","","","","","","","","","","","","","","","韓國","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
